Year,ISSN,Abbreviation,Publisher,URL
"2016","2470-6566","SIAM J. Appl. Algebra Geom.","Society for Industrial and Applied Mathematics (SIAM)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24706566"
"2016","2541-7525","Vestn. Samar. Univ. Estestvennonauchn. Ser.","Samarskii Natsionalnyi Issledovatelskii Universitet imeni Akademika S. P. Koroleva","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25417525"
"2015","2314-4106","Algebra","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23144106"
"2015","2199-2576","Ann. PDE","Springer International","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21992576"
"2015","2199-6792","Arnold Math. J.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21996792"
"2015","2199-675X","Eur. J. Math.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2199675X"
"2015","2353-3382","Geom. Flows","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23533382"
"2015","2333-9403","IEEE Trans. Comput. Imaging","Institute of Electrical and Electronics Engineers, Inc. (IEEE)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23339403"
"2015","2373-776X","IEEE Trans. Signal Inform. Process. Netw.","Institute of Electrical and Electronics Engineers, Inc. (IEEE)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2373776X"
"2015","2405-8963","IFAC-PapersOnLine","Elsevier B. V.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24058963"
"2015","2349-5103","Int. J. Appl. Comput. Math.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23495103"
"2015","1857-9582","J. Comput. Sci. Appl. Math.","Research Publication","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18579582"
"2015","2356-7856","J. Difference Equ.","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23567856"
"2015","2296-9020","J. Elliptic Parabol. Equ.","Birkhauser Verlag","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22969020"
"2015","2454-4515","J. Graph Label.","Shanlax International Journals","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24544515"
"2015","2058-5985","J. Integrable Syst.","Oxford University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20585985"
"2015","2356-7511","J. Numbers","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23567511"
"2015","2356-7589","J. Probab.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23567589"
"2015","2423-4788","Khayyam J. Math.","Tusi Mathematical Research Group (TMRG)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24234788"
"2015","2188-8159","Linear Nonlinear Anal.","Yokohama Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21888159"
"2015","2353-6438","Math. Clim. Weather Forecast.","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23536438"
"2015","1594-6916","Metalogicon (N.S.)","Diogene Edizioni","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=15946916"
"2015","2496-5170","North-West. Eur. J. Math.","North-Western European Journal of Mathematics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24965170"
"2015","2363-9555","Res. Number Theory","Springer International","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23639555"
"2015","2426-8399","SMAI J. Comput. Math.","Societe de Mathematiques Appliquees et Industrielles","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24268399"
"2015","2446-6719","South Amer. J. Log.","South American Journal of Logic","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24466719"
"2015","2414-3952","Ural Math. J.","Russian Academy of Sciences Ural Branch, N. N. Krasovskii Institute of Mathematics and Mechanics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24143952"
"2014","2214-2584","Algebr. Geom.","Foundation Compositio Mathematica","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22142584"
"2014","2308-5827","Ann. Inst. Henri Poincare D","European Mathematical Society (EMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23085827"
"2014","2326-8298","Annu. Rev. Stat. Appl.","Annual Reviews","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23268298"
"2014","2331-1835","Cogent Math.","Cogent OA","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23311835"
"2014","2300-7443","Complex Manifolds","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23007443"
"2014","2308-2151","EMS Surv. Math. Sci.","European Mathematical Society (EMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23082151"
"2014","2328-8876","Geom. Imaging Comput.","International Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23288876"
"2014","2325-5870","IEEE Trans. Control Netw. Syst.","Institute of Electrical and Electronics Engineers, Inc. (IEEE)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23255870"
"2014","2327-4697","IEEE Trans. Network Sci. Eng.","IEEE Computer Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23274697"
"2014","2329-9266","IEEE/CAA J. Autom. Sin.","Institute of Electrical and Electronics Engineers, Inc. (IEEE)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23299266"
"2014","2356-797X","Int. J. Computational Math.","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2356797X"
"2014","2424-7863","Int. J. Financ. Eng.","World Scientific Publishing Co. Pte. Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24247863"
"2014","2008-6822","Int. J. Nonlinear Anal. Appl.","Semnan University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20086822"
"2014","2148-838X","J. Algebra Comb. Discrete Struct. Appl.","Yildiz Technical University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2148838X"
"2014","2055-3706","J. Appl. Logics","College Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20553706"
"2014","2158-2491","J. Comput. Dyn.","American Institute of Mathematical Sciences (AIMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21582491"
"2014","2313-8106","J. Comput. Eng. Math.","South Ural State University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23138106"
"2014","2330-7706","J. Control Decis.","Taylor & Francis, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23307706"
"2014","2164-6066","J. Dyn. Games","American Institute of Mathematical Sciences (AIMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21646066"
"2014","2308-1309","J. Fractal Geom.","European Mathematical Society (EMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23081309"
"2014","2429-7100","J. Ec. polytech. Math.","Universite Paris - Saclay, Ecole Polytechnique","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24297100"
"2014","2373-7867","Lett. Biomath.","Taylor & Francis, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23737867"
"2014","2199-1413","Minimax Theory Appl.","Heldermann Verlag","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21991413"
"2014","2351-6046","Mod. Stoch. Theory Appl.","VTEX. Solutions for Science Publishing","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23516046"
"2014","2353-0626","Nonauton. Dyn. Syst.","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23530626"
"2014","2214-7160","Oper. Res. Perspect.","Elsevier B. V.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22147160"
"2014","2198-4115","Pac. J. Math. Ind.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21984115"
"2014","2349-6789","Poincare J. Anal. Appl.","Poincare Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23496789"
"2014","2330-1511","Proc. Amer. Math. Soc. Ser. B","American Mathematical Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23301511"
"2014","2341-1414","Quad. Filos.","Societat de Filosofia del Pais Valencia","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23411414"
"2014","2196-5609","Quantum Stud. Math. Found.","Birkhauser Verlag","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21965609"
"2014","2054-5703","R. Soc. Open Sci.","Royal Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20545703"
"2014","2182-1976","Recreat. Math. Mag.","Associacao Ludus","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21821976"
"2014","2385-4277","Rep. SCM","Societat Catalana de Matematiques, Institut d'Estudis Catalans","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23854277"
"2014","2522-0144","Res. Math. Sci.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=25220144"
"2014","2470-9859","Theory Appl. Graphs","Theory and Applications of Graphs","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24709859"
"2014","2330-0000","Trans. Amer. Math. Soc. Ser. B","American Mathematical Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23300000"
"2014","2052-4986","Trans. London Math. Soc.","London Mathematical Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20524986"
"2014","1811-9905","Vestn. St.-Peterbg. Univ. Ser. 10 Prikl. Mat. Inform. Protsessy Upr.","Izdatelstvo Sankt-Peterburgskogo Universiteta","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18119905"
"2014","2426-0312","Winter Braids Lect. Notes","Cellule MathDoc","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=24260312"
"2013","2167-8375","ACM Trans. Econ. Comput.","Association for Computing Machinery (ACM)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21678375"
"2013","2299-3274","Anal. Geom. Metr. Spaces","Versita","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22993274"
"2013","2195-4755","Ann. Math. Que.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21954755"
"2013","2244-8659","Bull. Comput. Appl. Math.","Universidad Simon Bolivar, Edifico Ciencias Basicas 1","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22448659"
"2013","2168-0930","Camb. J. Math.","International Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21680930"
"2013","2345-5853","Categ. Gen. Algebr. Struct. Appl.","Shahid Beheshti University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23455853"
"2013","2314-8071","Chin. J. Math. (N.Y.)","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23148071"
"2013","2194-6701","Commun. Math. Stat.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21946701"
"2013","2314-4165","Comput. Biol. J.","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23144165"
"2013","2345-3982","Comput. Methods Differ. Equ.","University of Tabriz","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23453982"
"2013","2299-3282","Concr. Oper.","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22993282"
"2013","2147-3730","Contemp. Anal. Appl. Math.","Fatih University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21473730"
"2013","2300-2298","Depend. Model.","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23002298"
"2013","2192-4406","EURO J. Comput. Optim.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21924406"
"2013","2196-1085","Econ. Theory Bull.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21961085"
"2013","2338-2287","Electron. J. Graph Theory Appl. (EJGTA)","Indonesian Combinatorial Society","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23382287"
"2013","2090-729X","Electron. J. Math. Anal. Appl.","Fractional Calculus and Applications Group (FCAG)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2090729X"
"2013","2050-5086","Forum Math. Pi","Cambridge University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20505086"
"2013","2050-5094","Forum Math. Sigma","Cambridge University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20505094"
"2013","2356-6930","Game Theory","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23566930"
"2013","2314-422X","Geometry","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2314422X"
"2013","2309-4966","Gulf J. Math.","Canadian University of Dubai","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23094966"
"2013","2326-4810","ICCM Not.","International Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23264810"
"2013","2347-2529","Int. J. Adv. Appl. Math. Mech.","Sarvajanik College Eng. Tech.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23472529"
"2013","2314-498X","Int. J. Anal.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2314498X"
"2013","1752-2862","Int. J. Appl. Nonlinear Sci.","Inderscience Enterprises Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17522862"
"2013","2195-268X","Int. J. Dyn. Control","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2195268X"
"2013","2356-7082","Int. J. Partial Differ. Equ.","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23567082"
"2013","2345-5128","J. Algebr. Syst.","Shahrood University of Technology","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23455128"
"2013","2345-3931","J. Algebra Relat. Topics","University of Guilan","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23453931"
"2013","2314-4963","J. Complex Anal.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23144963"
"2013","2051-1310","J. Complex Netw.","Oxford University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20511310"
"2013","2090-9837","J. Discrete Math.","Hindawi Publishing Corporation","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20909837"
"2013","2345-394X","J. Math. Model.","University of Guilan","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2345394X"
"2013","2314-5064","J. Oper.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23145064"
"2013","2194-668X","J. Oper. Res. Soc. China","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2194668X"
"2013","2356-752X","J. Optim.","Hindawi","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2356752X"
"2013","2147-625X","Konuralp J. Math.","Konuralp Journal of Mathematics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2147625X"
"2013","2281-6917","Lett. Mat.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22816917"
"2013","2326-7186","Math. Mech. Complex Syst.","Mathematical Sciences Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23267186"
"2013","2147-6268","Math. Sci. Appl. E-Notes","Mathematical Sciences and Applications E-Notes","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21476268"
"2013","2299-3266","Mol. Based Math. Biol.","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22993266"
"2013","2147-5520","New Trends Math. Sci.","Yildiz Technical University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21475520"
"2013","2166-2525","SIAM/ASA J. Uncertain. Quantif.","Society for Industrial and Applied Mathematics (SIAM)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21662525"
"2013","2300-7451","Spec. Matrices","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23007451"
"2013","2311-004X","Stat. Optim. Inf. Comput.","International Academic Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=2311004X"
"2013","2194-0401","Stoch. Partial Differ. Equ. Anal. Comput.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21940401"
"2013","2299-3231","Topol. Algebra Appl.","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22993231"
"2012","2191-9496","Adv. Nonlinear Anal.","De Gruyter","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21919496"
"2012","2193-5343","Arab. J. Math. (Springer)","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21935343"
"2012","1314-684X","BIOMATH","Biomath Forum","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=1314684X"
"2012","1735-0611","Casp. J. Math. Sci.","University of Mazandaran","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=17350611"
"2012","2050-0300","Clifford Anal. Clifford Algebr. Appl.","Cambridge Scientific Publishers","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20500300"
"2012","2211-3568","Computability","IOS Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22113568"
"2012","2163-2480","Evol. Equ. Control Theory","American Institute of Mathematical Sciences (AIMS)","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21632480"
"2012","2217-7795","Financ. Math. Appl.","Ilirias Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22177795"
"2012","2284-5569","Glob. J. Adv. Res. Class. Mod. Geom.","Global Journal of Advanced Research on Classical and Modern Geometry","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22845569"
"2012","2049-8764","Inf. Inference","Oxford University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20498764"
"2012","2251-7650","Int. J. Group Theory","University of Isfahan","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22517650"
"2012","2091-1521","Int. J. Oper. Res. Nepal","Operational Research Society of Nepal","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20911521"
"2012","2164-6457","J. Appl. Nonlinear Dyn.","L & H Scientific Publishing","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21646457"
"2012","1848-5979","J. Class. Anal.","Publishing House ELEMENT","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18485979"
"2012","2194-6345","J. Econom. Methods","De Gruyter","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21946345"
"2012","2251-8436","J. Hyperstruct.","University of Mohaghegh Ardabili","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22518436"
"2012","2194-3907","J. Interpolat. Approx. Sci. Comput.","International Scientific Publications and Consulting Services. ISPACS","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21943907"
"2012","2252-0201","J. Linear Topol. Algebra","Islamic Azad University, Central Tehran Branch","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22520201"
"2012","2319-3786","Malaya J. Mat.","University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23193786"
"2012","1805-3610","Math. Appl. (Brno)","Brno University of Technology","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18053610"
"2012","2299-3290","Nanoscale Syst. Math. Model. Theory Appl.","De Gruyter Open","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22993290"
"2012","2050-3911","PTEP. Prog. Theor. Exp. Phys.","Oxford University Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20503911"
"2012","2219-5688","Palest. J. Math.","Palestine Polytechnic University","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22195688"
"2012","1314-7374","Quanta","Quanta","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=13147374"
"2012","2010-3263","Random Matrices Theory Appl.","World Scientific Publishing Co.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20103263"
"2012","2211-6753","Spat. Stat.","Elsevier B. V.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22116753"
"2012","2049-1573","Stat","John Wiley & Sons, Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20491573"
"2012","2251-8657","Trans. Comb.","University of Isfahan","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22518657"
"2011","2158-5571","Algorithmic Finance","IOS Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21585571"
"2011","1664-2368","Anal. Math. Phys.","Birkhauser Verlag","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16642368"
"2011","2093-9310","Ann. Fuzzy Math. Inform.","Wonkwang University, Research Institute for Basic Science","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20939310"
"2011","0976-8467","Ann. Fuzzy Sets Fuzzy Log. Fuzzy Syst.","Mili Publications","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=09768467"
"2011","2010-3484","Asia Pac. Math. Newsl.","World Scientific Publishing Co. Pte. Ltd.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20103484"
"2011","2218-6816","Azerb. J. Math.","Azerbaijan Journal of Mathematics","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=22186816"
"2011","2303-4874","Bull. Int. Math. Virtual Inst.","International Mathematical Virtual Institute IMVI. Scientific Society of Mathematicians Banja Luka","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=23034874"
"2011","1664-3607","Bull. Math. Sci.","Springer Basel","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=16643607"
"2011","2193-4215","Commun. Numer. Anal.","International Scientific Publications and Consulting Services. ISPACS","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21934215"
"2011","2153-0785","Dyn. Games Appl.","Birkhauser Boston, Inc.","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21530785"
"2011","2079-7362","East Asian J. Appl. Math.","Global Science Press","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20797362"
"2011","2190-9733","Eur. Actuar. J.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21909733"
"2011","1879-4912","Eur. J. Philos. Sci.","Springer","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18794912"
"2011","1847-9677","Fract. Differ. Calc.","Publishing House ELEMENT","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=18479677"
"2011","2105-1232","IPOL J. Image Process. Online","IPOL Journal. Image Processing Online","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=21051232"
"2011","2090-6285","ISRN Algebra","International Scholarly Research Network. ISRN","https://mathscinet.ams.org/mathscinet/search/journaldoc.html?cn=20906285"
